item,pic,title
http://www.wikidata.org/entity/Q17319694,http://commons.wikimedia.org/wiki/Special:FilePath/Landscape%20with%20Fighting%20Bulls%20by%20Dirck%20van%20Bergen%20Rijksmuseum%20Amsterdam%20SK-A-39.jpg,Landscape with Fighting Bulls
http://www.wikidata.org/entity/Q17319656,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Y%20at%20Amsterdam%20viewed%20from%20Mussel%20Pier.jpg,"The Y at Amsterdam, seen from the Mosselsteiger (mussel pier)"
http://www.wikidata.org/entity/Q17319718,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20de%20Bray%20002.jpg,"The Governors of the Guild of St Luke, Haarlem, 1675"
http://www.wikidata.org/entity/Q17319720,http://commons.wikimedia.org/wiki/Special:FilePath/Quiringh%20Gerritsz.%20van%20Brekelenkam%20002.jpg,Interior with Fisherman and Man beside a Bobbin and Spool
http://www.wikidata.org/entity/Q17319719,http://commons.wikimedia.org/wiki/Special:FilePath/Village%20on%20the%20Bank%20of%20a%20River%20by%20Joseph%20van%20Bredael%20Rijksmuseum%20Amsterdam%20SK-A-59.jpg,Village on the Bank of a River
http://www.wikidata.org/entity/Q17319681,http://commons.wikimedia.org/wiki/Special:FilePath/IJsgezicht%20nabij%20een%20stad%20Rijksmuseum%20SK-A-28.jpeg,On the Ice near a Town
http://www.wikidata.org/entity/Q17319703,http://commons.wikimedia.org/wiki/Special:FilePath/Ferdinand%20Bol%20010.jpg,"Margarita Trip as Minerva, Instructing her Sister Anna Maria Trip"
http://www.wikidata.org/entity/Q17319659,http://commons.wikimedia.org/wiki/Special:FilePath/Woelige%20zee%20met%20Nederlands%20jacht%20onder%20zeil.%20-%20Rough%20seas%20with%20a%20Dutch%20yacht%20under%20sail%20%28Ludolf%20Backhuysen%2C%201694%29.jpg,Rough Sea with a Dutch Yacht
http://www.wikidata.org/entity/Q17319725,http://commons.wikimedia.org/wiki/Special:FilePath/De%20muizenval%20Rijksmuseum%20SK-A-62.jpeg,The Mousetrap
http://www.wikidata.org/entity/Q17319705,http://commons.wikimedia.org/wiki/Special:FilePath/Forest%20Road%20by%20Jan%20Looten%20with%20figures%20attributed%20to%20Johannes%20Lingelbach%20Rijksmuseum%20Amsterdam%20SK-A-48.jpg,Forest Road
http://www.wikidata.org/entity/Q17319673,http://commons.wikimedia.org/wiki/Special:FilePath/Battle%20of%20Scheveningen%20%28Slag%20bij%20Ter%20Heijde%29%28Jan%20Abrahamsz.%20Beerstraten%29.jpg,The Battle of Terheide
http://www.wikidata.org/entity/Q17319712,http://commons.wikimedia.org/wiki/Special:FilePath/Het%20mystieke%20huwelijk%20van%20de%20heilige%20Catharina%20Rijksmuseum%20SK-A-53.jpeg,The Mystic Marriage of St Catherine
http://www.wikidata.org/entity/Q17320031,http://commons.wikimedia.org/wiki/Special:FilePath/Caspar%20Fagel%20%281634-88%29.%20Raadpensionaris%20van%20Holland%20sedert%201672%2C%20met%20op%20de%20achtergrond%20de%20vergaderzaal%20van%20de%20Staten%20van%20Holland%20op%20het%20Binnenhof%20te%20Den%20Haag%20Rijksmuseum%20SK-A-283.jpeg,"""Portrait of Gaspar Fagel, Grand Pensionary of Holland after 1672"
http://www.wikidata.org/entity/Q17320012,http://commons.wikimedia.org/wiki/Special:FilePath/De%20kluizenaar%20Rijksmuseum%20SK-A-265.jpeg,The Hermit
http://www.wikidata.org/entity/Q17319999,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Maurits%2C%20prins%20van%20Oranje%20Rijksmuseum%20SK-A-255.jpeg,"Maurits, Prince of Orange (1567-1625)"
http://www.wikidata.org/entity/Q17319996,http://commons.wikimedia.org/wiki/Special:FilePath/Hendrick%20de%20Meijer%20001.jpg,"The Departure of Charles II of England from Scheveningen, June 2, 1660"
http://www.wikidata.org/entity/Q17320002,http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Cats%20by%20Michiel%20Jansz%20van%20Mierevelt.jpg,Portrait of Jacob Cats (1577-1660)
http://www.wikidata.org/entity/Q17320001,http://commons.wikimedia.org/wiki/Special:FilePath/Michiel%20Jansz%20van%20Mierevelt%20-%20Johan%20van%20Oldenbarnevelt.jpg,Portrait of Johan van Oldenbarnevelt
http://www.wikidata.org/entity/Q17320018,http://commons.wikimedia.org/wiki/Special:FilePath/Mooy-Aal%20en%20haar%20aanbidders%20Rijksmuseum%20SK-A-270.jpeg,Mooy-Aal and her suitors
http://www.wikidata.org/entity/Q17320029,http://commons.wikimedia.org/wiki/Special:FilePath/De%20verkondiging%20aan%20Maria%20Rijksmuseum%20SK-A-282.jpeg,Annunciation to the Virgin
http://www.wikidata.org/entity/Q17320023,http://commons.wikimedia.org/wiki/Special:FilePath/Een%20herderin%20Rijksmuseum%20SK-A-276.jpeg,A Shepherdess
http://www.wikidata.org/entity/Q17320019,http://commons.wikimedia.org/wiki/Special:FilePath/Ecce%20homo%20Rijksmuseum%20SK-A-272.jpeg,Ecce homo
http://www.wikidata.org/entity/Q17320019,http://commons.wikimedia.org/wiki/Special:FilePath/P.P.%20Rubens%20-%20Ecce%20Homo%20-%20B595%20-%20Cultural%20Heritage%20Agency%20of%20the%20Netherlands%20Art%20Collection.jpg,Ecce homo
http://www.wikidata.org/entity/Q17320004,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Nicolaas%20Schmelzing%20%281561-1629%29%20Rijksmuseum%20SK-A-259.jpeg,Portrait of Nicolaas Schmelzing (1561-1629)
http://www.wikidata.org/entity/Q17319949,http://commons.wikimedia.org/wiki/Special:FilePath/Italiaans%20marktplein%20met%20kiezentrekker%20Rijksmuseum%20SK-A-226.jpeg,Italian Marketplace with a Quack Dentist
http://www.wikidata.org/entity/Q17320009,http://commons.wikimedia.org/wiki/Special:FilePath/Allegorie%20op%20de%20vergankelijkheid%20Rijksmuseum%20SK-A-263.jpeg,Allegory of Transience
http://www.wikidata.org/entity/Q17319994,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20Metsu%20-%20Le%20Vieux%20Buveur.jpg,The Old Drinker
http://www.wikidata.org/entity/Q17320008,http://commons.wikimedia.org/wiki/Special:FilePath/Het%20stemmen%20van%20de%20luit%20Rijksmuseum%20SK-A-262.jpeg,Vrouw die een teorbe stemt
http://www.wikidata.org/entity/Q17320000,http://commons.wikimedia.org/wiki/Special:FilePath/Portret%20van%20Philips%20Willem%20%281554-1618%29%2C%20prins%20van%20Oranje%20Rijksmuseum%20SK-A-256.jpeg,Portrait of Prince Philip William of Orange
http://www.wikidata.org/entity/Q17320027,http://commons.wikimedia.org/wiki/Special:FilePath/Italiaans%20landschap%20met%20jagers%20Rijksmuseum%20SK-A-280.jpeg,Italian Landscape with Hunters
http://www.wikidata.org/entity/Q17320016,http://commons.wikimedia.org/wiki/Special:FilePath/Stilleven%20met%20bloemen%20en%20een%20horloge%20Rijksmuseum%20SK-A-268.jpeg,Still Life with Flowers and a Watch
http://www.wikidata.org/entity/Q17320036,http://commons.wikimedia.org/wiki/Special:FilePath/Pieter%20Neefs%20%28I%29%20002.jpg,The interior of the Dominican church in Antwerp
http://www.wikidata.org/entity/Q17320026,http://commons.wikimedia.org/wiki/Special:FilePath/A.%20%281622-02-15%29%20Pijnacker%20-%20Italiaans%20landschap%20met%20burcht%20op%20rotsen%20-%20B2732%20-%20Cultural%20Heritage%20Agency%20of%20the%20Netherlands%20Art%20Collection.jpg,Italiaans landschap met burcht op rotsen
http://www.wikidata.org/entity/Q17319948,http://commons.wikimedia.org/wiki/Special:FilePath/Legerplaats%20Rijksmuseum%20SK-A-225.jpeg,Army Camp
